Solar_data
time,utilization
2025-09-15 00:00:00,0.0
2025-09-15 00:10:00,0.0
2025-09-15 00:20:00,0.0
2025-09-15 00:30:00,0.0
2025-09-15 00:40:00,0.0
2025-09-15 00:50:00,0.0
2025-09-15 01:00:00,0.0
2025-09-15 01:10:00,0.0
2025-09-15 01:20:00,0.0
2025-09-15 01:30:00,0.0
2025-09-15 01:40:00,0.0
2025-09-15 01:50:00,0.0
2025-09-15 02:00:00,0.0
2025-09-15 02:10:00,0.0
2025-09-15 02:20:00,0.0
2025-09-15 02:30:00,0.0
2025-09-15 02:40:00,0.0
2025-09-15 02:50:00,0.0
2025-09-15 03:00:00,0.0
2025-09-15 03:10:00,0.0
2025-09-15 03:20:00,0.0
2025-09-15 03:30:00,0.0
2025-09-15 03:40:00,0.0
2025-09-15 03:50:00,0.0
2025-09-15 04:00:00,0.0
2025-09-15 04:10:00,0.0
2025-09-15 04:20:00,0.0
2025-09-15 04:30:00,0.0
2025-09-15 04:40:00,1.4344579352426434e-05
2025-09-15 04:50:00,9.104370030634586e-05
2025-09-15 05:00:00,0.00037330485891640905
2025-09-15 05:10:00,0.0011723175361346935
2025-09-15 05:20:00,0.0029427118447323836
2025-09-15 05:30:00,0.006164706206031805
2025-09-15 05:40:00,0.011328043200398586
2025-09-15 05:50:00,0.01900679642961721
2025-09-15 06:00:00,0.029247435484449528
2025-09-15 06:10:00,0.041985247717351626
2025-09-15 06:20:00,0.057423353388214554
2025-09-15 06:30:00,0.07498763492030483
2025-09-15 06:40:00,0.0948786518806892
2025-09-15 06:50:00,0.1168207180956679
2025-09-15 07:00:00,0.1399466621659456
2025-09-15 07:10:00,0.1635611521380563
2025-09-15 07:20:00,0.18859712954971097
2025-09-15 07:30:00,0.21350578591227531
2025-09-15 07:40:00,0.2383347120015852
2025-09-15 07:50:00,0.2630742381416982
2025-09-15 08:00:00,0.28745439042968135
2025-09-15 08:10:00,0.3104653516604055
2025-09-15 08:20:00,0.3328830095068101
2025-09-15 08:30:00,0.3541940023341486
2025-09-15 08:40:00,0.3729895603272223
2025-09-15 08:50:00,0.39088049675187764
2025-09-15 09:00:00,0.4077798166582662
2025-09-15 09:10:00,0.42321580715717816
2025-09-15 09:20:00,0.43746913459993175
2025-09-15 09:30:00,0.4521511391285927
2025-09-15 09:40:00,0.4571638271212578
2025-09-15 09:50:00,0.4612774853264132
2025-09-15 10:00:00,0.4646583787375881
2025-09-15 10:10:00,0.46643726734384416
2025-09-15 10:20:00,0.4662450299628319
2025-09-15 10:30:00,0.4731784041850797
2025-09-15 10:40:00,0.481171409881884
2025-09-15 10:50:00,0.4873066843036682
2025-09-15 11:00:00,0.49203659930536825
2025-09-15 11:10:00,0.49592261247096514
2025-09-15 11:20:00,0.4983672092037816
2025-09-15 11:30:00,0.4970156769118001
2025-09-15 11:40:00,0.4946018653050545
2025-09-15 11:50:00,0.491434712275382
2025-09-15 12:00:00,0.487562997783384
2025-09-15 12:10:00,0.4829092600653248
2025-09-15 12:20:00,0.47733041201868365
2025-09-15 12:30:00,0.470902530127956
2025-09-15 12:40:00,0.4664902724565998
2025-09-15 12:50:00,0.46109079497475775
2025-09-15 13:00:00,0.4546949988892002
2025-09-15 13:10:00,0.4472515729165846
2025-09-15 13:20:00,0.43880733203503397
2025-09-15 13:30:00,0.4266071122500204
2025-09-15 13:40:00,0.41417818213662794
2025-09-15 13:50:00,0.4009118460359112
2025-09-15 14:00:00,0.38681816867282315
2025-09-15 14:10:00,0.3717896896504588
2025-09-15 14:20:00,0.35577648301278386
2025-09-15 14:30:00,0.33841787985255645
2025-09-15 14:40:00,0.32137444725921077
2025-09-15 14:50:00,0.3034653748956419
2025-09-15 15:00:00,0.28516058873745703
2025-09-15 15:10:00,0.2666193585482336
2025-09-15 15:20:00,0.2473349988700882
2025-09-15 15:30:00,0.22667965913011184
2025-09-15 15:40:00,0.20796454494758962
2025-09-15 15:50:00,0.18900450505316257
2025-09-15 16:00:00,0.16995379248814238
2025-09-15 16:10:00,0.15126752748244235
2025-09-15 16:20:00,0.13271406175148104
2025-09-15 16:30:00,0.11270169520209875
2025-09-15 16:40:00,0.09395745152667648
2025-09-15 16:50:00,0.0760328499915739
2025-09-15 17:00:00,0.05944787847298768
2025-09-15 17:10:00,0.04492920345116046
2025-09-15 17:20:00,0.03239922882808793
2025-09-15 17:30:00,0.02174978359572349
2025-09-15 17:40:00,0.013618642721895972
2025-09-15 17:50:00,0.007833825536222468
2025-09-15 18:00:00,0.004047590929023441
2025-09-15 18:10:00,0.001824362223757611
2025-09-15 18:20:00,0.0006667866964914626
2025-09-15 18:30:00,0.0002235410689947105
2025-09-15 18:40:00,7.766464635008766e-05
2025-09-15 18:50:00,0.0
2025-09-15 19:00:00,0.0
2025-09-15 19:10:00,0.0
2025-09-15 19:20:00,0.0
2025-09-15 19:30:00,0.0
2025-09-15 19:40:00,0.0
2025-09-15 19:50:00,0.0
2025-09-15 20:00:00,0.0
2025-09-15 20:10:00,0.0
2025-09-15 20:20:00,0.0
2025-09-15 20:30:00,0.0
2025-09-15 20:40:00,0.0
2025-09-15 20:50:00,0.0
2025-09-15 21:00:00,0.0
2025-09-15 21:10:00,0.0
2025-09-15 21:20:00,0.0
2025-09-15 21:30:00,0.0
2025-09-15 21:40:00,0.0
2025-09-15 21:50:00,0.0
2025-09-15 22:00:00,0.0
2025-09-15 22:10:00,0.0
2025-09-15 22:20:00,0.0
2025-09-15 22:30:00,0.0
2025-09-15 22:40:00,0.0
2025-09-15 22:50:00,0.0
2025-09-15 23:00:00,0.0
2025-09-15 23:10:00,0.0
2025-09-15 23:20:00,0.0
2025-09-15 23:30:00,0.0
2025-09-15 23:40:00,0.0
2025-09-15 23:50:00,0.0
