Solar_data
time,utilization
2025-06-15 00:00:00,0.0
2025-06-15 00:10:00,0.0
2025-06-15 00:20:00,0.0
2025-06-15 00:30:00,0.0
2025-06-15 00:40:00,0.0
2025-06-15 00:50:00,0.0
2025-06-15 01:00:00,0.0
2025-06-15 01:10:00,0.0
2025-06-15 01:20:00,0.0
2025-06-15 01:30:00,0.0
2025-06-15 01:40:00,0.0
2025-06-15 01:50:00,0.0
2025-06-15 02:00:00,0.0
2025-06-15 02:10:00,0.0
2025-06-15 02:20:00,0.0
2025-06-15 02:30:00,0.0
2025-06-15 02:40:00,0.0
2025-06-15 02:50:00,0.0
2025-06-15 03:00:00,3.234124545293349e-05
2025-06-15 03:10:00,0.0001827265396000697
2025-06-15 03:20:00,0.0007004151407126037
2025-06-15 03:30:00,0.0019438412702349464
2025-06-15 03:40:00,0.004274146412142492
2025-06-15 03:50:00,0.008011000973525487
2025-06-15 04:00:00,0.01338328917232913
2025-06-15 04:10:00,0.020432612400562048
2025-06-15 04:20:00,0.02909797509050658
2025-06-15 04:30:00,0.03920310640166844
2025-06-15 04:40:00,0.050557402064723346
2025-06-15 04:50:00,0.06327368382725024
2025-06-15 05:00:00,0.07699281992691179
2025-06-15 05:10:00,0.09147599345493702
2025-06-15 05:20:00,0.10694690695212732
2025-06-15 05:30:00,0.12315173834081618
2025-06-15 05:40:00,0.1398401248358911
2025-06-15 05:50:00,0.15770808285282503
2025-06-15 06:00:00,0.1764322588280324
2025-06-15 06:10:00,0.1956874235983818
2025-06-15 06:20:00,0.21618763756367468
2025-06-15 06:30:00,0.23732044886677495
2025-06-15 06:40:00,0.2572413980480163
2025-06-15 06:50:00,0.27777453831607296
2025-06-15 07:00:00,0.2985107064968155
2025-06-15 07:10:00,0.31883206840965056
2025-06-15 07:20:00,0.33955029193912784
2025-06-15 07:30:00,0.36133158567451656
2025-06-15 07:40:00,0.3779346267061849
2025-06-15 07:50:00,0.3939968060101232
2025-06-15 08:00:00,0.40915230450130274
2025-06-15 08:10:00,0.4230139774660911
2025-06-15 08:20:00,0.4364477241231549
2025-06-15 08:30:00,0.45358596280697855
2025-06-15 08:40:00,0.4692625121724221
2025-06-15 08:50:00,0.4851270382442782
2025-06-15 09:00:00,0.5008820818797234
2025-06-15 09:10:00,0.5165108253398251
2025-06-15 09:20:00,0.5320403346130924
2025-06-15 09:30:00,0.5475994756625545
2025-06-15 09:40:00,0.5595794228776808
2025-06-15 09:50:00,0.5701687358079418
2025-06-15 10:00:00,0.5797516772343266
2025-06-15 10:10:00,0.5888015146697722
2025-06-15 10:20:00,0.5982396439198525
2025-06-15 10:30:00,0.6099509220930838
2025-06-15 10:40:00,0.6144200174077864
2025-06-15 10:50:00,0.6183604301944855
2025-06-15 11:00:00,0.6214339899439965
2025-06-15 11:10:00,0.6231368925302259
2025-06-15 11:20:00,0.6235250602806768
2025-06-15 11:30:00,0.6300934318573244
2025-06-15 11:40:00,0.6296321331493315
2025-06-15 11:50:00,0.6279501706361771
2025-06-15 12:00:00,0.6254436842856869
2025-06-15 12:10:00,0.6225631550435097
2025-06-15 12:20:00,0.6186783226266984
2025-06-15 12:30:00,0.6185457304600745
2025-06-15 12:40:00,0.6141491790932994
2025-06-15 12:50:00,0.6079995952306255
2025-06-15 13:00:00,0.5991169340187503
2025-06-15 13:10:00,0.5878961158375587
2025-06-15 13:20:00,0.5750629577905901
2025-06-15 13:30:00,0.5636999499893957
2025-06-15 13:40:00,0.5489142440499798
2025-06-15 13:50:00,0.5345751476383978
2025-06-15 14:00:00,0.5208133036571164
2025-06-15 14:10:00,0.5076289145696548
2025-06-15 14:20:00,0.49397391215447456
2025-06-15 14:30:00,0.4823049162184039
2025-06-15 14:40:00,0.4695836779090666
2025-06-15 14:50:00,0.45586716398116084
2025-06-15 15:00:00,0.4417560512019742
2025-06-15 15:10:00,0.4277501184132791
2025-06-15 15:20:00,0.4129255272688404
2025-06-15 15:30:00,0.397408885196332
2025-06-15 15:40:00,0.38228632783697497
2025-06-15 15:50:00,0.3660294863485521
2025-06-15 16:00:00,0.34880258421744065
2025-06-15 16:10:00,0.3312073258142317
2025-06-15 16:20:00,0.3126972155465234
2025-06-15 16:30:00,0.2927031945797705
2025-06-15 16:40:00,0.27156760591653084
2025-06-15 16:50:00,0.2499122766958129
2025-06-15 17:00:00,0.22858084257571926
2025-06-15 17:10:00,0.2081256845545384
2025-06-15 17:20:00,0.18787924330080708
2025-06-15 17:30:00,0.16910594165805848
2025-06-15 17:40:00,0.15179510789532816
2025-06-15 17:50:00,0.13488310520206728
2025-06-15 18:00:00,0.11848247704967374
2025-06-15 18:10:00,0.10295573155726157
2025-06-15 18:20:00,0.08814544093704992
2025-06-15 18:30:00,0.07369064240446013
2025-06-15 18:40:00,0.06074838509122211
2025-06-15 18:50:00,0.04873025831315787
2025-06-15 19:00:00,0.037869499557681624
2025-06-15 19:10:00,0.028270165931673783
2025-06-15 19:20:00,0.019870881269115112
2025-06-15 19:30:00,0.012784949666820467
2025-06-15 19:40:00,0.0073140100871716
