Load_data
time,load
2025-07-15 00:00:00,11776.193548387097
2025-07-15 00:15:00,11607.612903225807
2025-07-15 00:30:00,11464.387096774193
2025-07-15 00:45:00,11330.161290322581
2025-07-15 01:00:00,11224.741935483871
2025-07-15 01:15:00,11123.0
2025-07-15 01:30:00,11021.387096774193
2025-07-15 01:45:00,10933.612903225807
2025-07-15 02:00:00,10865.41935483871
2025-07-15 02:15:00,10804.41935483871
2025-07-15 02:30:00,10747.58064516129
2025-07-15 02:45:00,10689.935483870968
2025-07-15 03:00:00,10661.774193548386
2025-07-15 03:15:00,10621.806451612903
2025-07-15 03:30:00,10590.967741935483
2025-07-15 03:45:00,10567.225806451614
2025-07-15 04:00:00,10583.09677419355
2025-07-15 04:15:00,10573.0
2025-07-15 04:30:00,10572.90322580645
2025-07-15 04:45:00,10570.290322580646
2025-07-15 05:00:00,10646.806451612903
2025-07-15 05:15:00,10666.129032258064
2025-07-15 05:30:00,10692.838709677419
2025-07-15 05:45:00,10739.774193548386
2025-07-15 06:00:00,10896.838709677419
2025-07-15 06:15:00,10968.935483870968
2025-07-15 06:30:00,11050.09677419355
2025-07-15 06:45:00,11180.645161290322
2025-07-15 07:00:00,11427.967741935483
2025-07-15 07:15:00,11590.032258064517
2025-07-15 07:30:00,11778.548387096775
2025-07-15 07:45:00,11988.387096774193
2025-07-15 08:00:00,12136.935483870968
2025-07-15 08:15:00,12272.677419354839
2025-07-15 08:30:00,12415.129032258064
2025-07-15 08:45:00,12562.483870967742
2025-07-15 09:00:00,12615.870967741936
2025-07-15 09:15:00,12686.09677419355
2025-07-15 09:30:00,12730.90322580645
2025-07-15 09:45:00,12822.09677419355
2025-07-15 10:00:00,12823.612903225807
2025-07-15 10:15:00,12850.0
2025-07-15 10:30:00,12889.41935483871
2025-07-15 10:45:00,12955.806451612903
2025-07-15 11:00:00,12934.258064516129
2025-07-15 11:15:00,12938.032258064517
2025-07-15 11:30:00,12967.935483870968
2025-07-15 11:45:00,13006.354838709678
2025-07-15 12:00:00,12965.870967741936
2025-07-15 12:15:00,12950.387096774193
2025-07-15 12:30:00,12909.322580645161
2025-07-15 12:45:00,12924.451612903225
2025-07-15 13:00:00,12933.41935483871
2025-07-15 13:15:00,12945.741935483871
2025-07-15 13:30:00,12943.806451612903
2025-07-15 13:45:00,12917.193548387097
2025-07-15 14:00:00,12865.58064516129
2025-07-15 14:15:00,12843.645161290322
2025-07-15 14:30:00,12808.612903225807
2025-07-15 14:45:00,12781.41935483871
2025-07-15 15:00:00,12763.193548387097
2025-07-15 15:15:00,12745.677419354839
2025-07-15 15:30:00,12734.032258064517
2025-07-15 15:45:00,12736.935483870968
2025-07-15 16:00:00,12779.225806451614
2025-07-15 16:15:00,12752.41935483871
2025-07-15 16:30:00,12767.387096774193
2025-07-15 16:45:00,12855.516129032258
2025-07-15 17:00:00,12970.354838709678
2025-07-15 17:15:00,13051.774193548386
2025-07-15 17:30:00,13119.90322580645
2025-07-15 17:45:00,13163.451612903225
2025-07-15 18:00:00,13088.870967741936
2025-07-15 18:15:00,12979.90322580645
2025-07-15 18:30:00,12930.645161290322
2025-07-15 18:45:00,12916.612903225807
2025-07-15 19:00:00,12920.322580645161
2025-07-15 19:15:00,12872.935483870968
2025-07-15 19:30:00,12871.967741935483
2025-07-15 19:45:00,12907.709677419354
2025-07-15 20:00:00,12923.032258064517
2025-07-15 20:15:00,12898.41935483871
2025-07-15 20:30:00,12914.354838709678
2025-07-15 20:45:00,12956.032258064517
2025-07-15 21:00:00,12975.709677419354
2025-07-15 21:15:00,12984.161290322581
2025-07-15 21:30:00,12976.516129032258
2025-07-15 21:45:00,12982.870967741936
2025-07-15 22:00:00,12955.225806451614
2025-07-15 22:15:00,12893.806451612903
2025-07-15 22:30:00,12746.129032258064
2025-07-15 22:45:00,12588.387096774193
2025-07-15 23:00:00,12458.41935483871
2025-07-15 23:15:00,12326.774193548386
2025-07-15 23:30:00,12137.516129032258
2025-07-15 23:45:00,11970.677419354839
