Load_data
time,load
2025-08-15 00:00:00,11859.967741935483
2025-08-15 00:15:00,11700.612903225807
2025-08-15 00:30:00,11556.225806451614
2025-08-15 00:45:00,11423.774193548386
2025-08-15 01:00:00,11327.774193548386
2025-08-15 01:15:00,11218.09677419355
2025-08-15 01:30:00,11126.387096774193
2025-08-15 01:45:00,11040.451612903225
2025-08-15 02:00:00,10984.129032258064
2025-08-15 02:15:00,10933.967741935483
2025-08-15 02:30:00,10874.967741935483
2025-08-15 02:45:00,10821.612903225807
2025-08-15 03:00:00,10810.774193548386
2025-08-15 03:15:00,10766.870967741936
2025-08-15 03:30:00,10732.516129032258
2025-08-15 03:45:00,10708.09677419355
2025-08-15 04:00:00,10725.967741935483
2025-08-15 04:15:00,10709.290322580646
2025-08-15 04:30:00,10703.741935483871
2025-08-15 04:45:00,10703.161290322581
2025-08-15 05:00:00,10773.548387096775
2025-08-15 05:15:00,10834.709677419354
2025-08-15 05:30:00,10916.225806451614
2025-08-15 05:45:00,11019.645161290322
2025-08-15 06:00:00,11234.09677419355
2025-08-15 06:15:00,11330.41935483871
2025-08-15 06:30:00,11428.677419354839
2025-08-15 06:45:00,11523.064516129032
2025-08-15 07:00:00,11713.774193548386
2025-08-15 07:15:00,11813.064516129032
2025-08-15 07:30:00,11927.806451612903
2025-08-15 07:45:00,12072.451612903225
2025-08-15 08:00:00,12198.161290322581
2025-08-15 08:15:00,12306.161290322581
2025-08-15 08:30:00,12417.064516129032
2025-08-15 08:45:00,12526.322580645161
2025-08-15 09:00:00,12537.516129032258
2025-08-15 09:15:00,12592.225806451614
2025-08-15 09:30:00,12615.58064516129
2025-08-15 09:45:00,12681.806451612903
2025-08-15 10:00:00,12645.612903225807
2025-08-15 10:15:00,12662.967741935483
2025-08-15 10:30:00,12687.967741935483
2025-08-15 10:45:00,12760.612903225807
2025-08-15 11:00:00,12724.516129032258
2025-08-15 11:15:00,12736.741935483871
2025-08-15 11:30:00,12773.09677419355
2025-08-15 11:45:00,12821.032258064517
2025-08-15 12:00:00,12787.709677419354
2025-08-15 12:15:00,12778.483870967742
2025-08-15 12:30:00,12738.032258064517
2025-08-15 12:45:00,12773.90322580645
2025-08-15 13:00:00,12777.516129032258
2025-08-15 13:15:00,12800.225806451614
2025-08-15 13:30:00,12785.225806451614
2025-08-15 13:45:00,12779.225806451614
2025-08-15 14:00:00,12752.483870967742
2025-08-15 14:15:00,12736.806451612903
2025-08-15 14:30:00,12699.354838709678
2025-08-15 14:45:00,12681.161290322581
2025-08-15 15:00:00,12679.612903225807
2025-08-15 15:15:00,12654.709677419354
2025-08-15 15:30:00,12648.483870967742
2025-08-15 15:45:00,12660.258064516129
2025-08-15 16:00:00,12718.290322580646
2025-08-15 16:15:00,12698.09677419355
2025-08-15 16:30:00,12722.741935483871
2025-08-15 16:45:00,12812.612903225807
2025-08-15 17:00:00,12953.225806451614
2025-08-15 17:15:00,13064.354838709678
2025-08-15 17:30:00,13132.354838709678
2025-08-15 17:45:00,13193.806451612903
2025-08-15 18:00:00,13151.387096774193
2025-08-15 18:15:00,13069.193548387097
2025-08-15 18:30:00,13064.129032258064
2025-08-15 18:45:00,13089.838709677419
2025-08-15 19:00:00,13128.870967741936
2025-08-15 19:15:00,13138.870967741936
2025-08-15 19:30:00,13163.677419354839
2025-08-15 19:45:00,13271.354838709678
2025-08-15 20:00:00,13329.90322580645
2025-08-15 20:15:00,13384.41935483871
2025-08-15 20:30:00,13449.129032258064
2025-08-15 20:45:00,13496.258064516129
2025-08-15 21:00:00,13489.774193548386
2025-08-15 21:15:00,13458.645161290322
2025-08-15 21:30:00,13380.774193548386
2025-08-15 21:45:00,13284.90322580645
2025-08-15 22:00:00,13130.870967741936
2025-08-15 22:15:00,12976.774193548386
2025-08-15 22:30:00,12796.741935483871
2025-08-15 22:45:00,12627.0
2025-08-15 23:00:00,12493.387096774193
2025-08-15 23:15:00,12340.161290322581
2025-08-15 23:30:00,12146.09677419355
2025-08-15 23:45:00,11999.967741935483
