Load_data
time,load
2025-05-15 00:00:00,11485.129032258064
2025-05-15 00:15:00,11317.806451612903
2025-05-15 00:30:00,11169.322580645161
2025-05-15 00:45:00,11035.870967741936
2025-05-15 01:00:00,10927.41935483871
2025-05-15 01:15:00,10817.935483870968
2025-05-15 01:30:00,10706.645161290322
2025-05-15 01:45:00,10618.032258064517
2025-05-15 02:00:00,10564.322580645161
2025-05-15 02:15:00,10515.161290322581
2025-05-15 02:30:00,10439.967741935483
2025-05-15 02:45:00,10399.064516129032
2025-05-15 03:00:00,10371.548387096775
2025-05-15 03:15:00,10321.548387096775
2025-05-15 03:30:00,10294.967741935483
2025-05-15 03:45:00,10269.645161290322
2025-05-15 04:00:00,10285.09677419355
2025-05-15 04:15:00,10280.90322580645
2025-05-15 04:30:00,10282.225806451614
2025-05-15 04:45:00,10297.193548387097
2025-05-15 05:00:00,10388.032258064517
2025-05-15 05:15:00,10422.161290322581
2025-05-15 05:30:00,10457.516129032258
2025-05-15 05:45:00,10523.064516129032
2025-05-15 06:00:00,10700.967741935483
2025-05-15 06:15:00,10786.290322580646
2025-05-15 06:30:00,10882.870967741936
2025-05-15 06:45:00,11006.064516129032
2025-05-15 07:00:00,11266.612903225807
2025-05-15 07:15:00,11437.741935483871
2025-05-15 07:30:00,11636.483870967742
2025-05-15 07:45:00,11837.645161290322
2025-05-15 08:00:00,11965.935483870968
2025-05-15 08:15:00,12088.645161290322
2025-05-15 08:30:00,12218.709677419354
2025-05-15 08:45:00,12361.451612903225
2025-05-15 09:00:00,12389.129032258064
2025-05-15 09:15:00,12453.193548387097
2025-05-15 09:30:00,12477.774193548386
2025-05-15 09:45:00,12552.870967741936
2025-05-15 10:00:00,12508.322580645161
2025-05-15 10:15:00,12516.741935483871
2025-05-15 10:30:00,12533.838709677419
2025-05-15 10:45:00,12584.806451612903
2025-05-15 11:00:00,12557.032258064517
2025-05-15 11:15:00,12566.41935483871
2025-05-15 11:30:00,12577.90322580645
2025-05-15 11:45:00,12632.290322580646
2025-05-15 12:00:00,12584.741935483871
2025-05-15 12:15:00,12575.193548387097
2025-05-15 12:30:00,12549.870967741936
2025-05-15 12:45:00,12569.838709677419
2025-05-15 13:00:00,12601.193548387097
2025-05-15 13:15:00,12626.90322580645
2025-05-15 13:30:00,12599.677419354839
2025-05-15 13:45:00,12575.967741935483
2025-05-15 14:00:00,12567.129032258064
2025-05-15 14:15:00,12532.09677419355
2025-05-15 14:30:00,12484.258064516129
2025-05-15 14:45:00,12476.064516129032
2025-05-15 15:00:00,12476.354838709678
2025-05-15 15:15:00,12458.451612903225
2025-05-15 15:30:00,12449.483870967742
2025-05-15 15:45:00,12464.516129032258
2025-05-15 16:00:00,12526.451612903225
2025-05-15 16:15:00,12504.516129032258
2025-05-15 16:30:00,12544.193548387097
2025-05-15 16:45:00,12660.09677419355
2025-05-15 17:00:00,12822.741935483871
2025-05-15 17:15:00,12975.258064516129
2025-05-15 17:30:00,13066.935483870968
2025-05-15 17:45:00,13131.387096774193
2025-05-15 18:00:00,13076.0
2025-05-15 18:15:00,12984.870967741936
2025-05-15 18:30:00,12927.774193548386
2025-05-15 18:45:00,12921.645161290322
2025-05-15 19:00:00,12915.612903225807
2025-05-15 19:15:00,12877.90322580645
2025-05-15 19:30:00,12875.129032258064
2025-05-15 19:45:00,12925.354838709678
2025-05-15 20:00:00,12922.41935483871
2025-05-15 20:15:00,12938.193548387097
2025-05-15 20:30:00,12954.290322580646
2025-05-15 20:45:00,12984.870967741936
2025-05-15 21:00:00,12990.612903225807
2025-05-15 21:15:00,13004.806451612903
2025-05-15 21:30:00,12991.258064516129
2025-05-15 21:45:00,12954.032258064517
2025-05-15 22:00:00,12840.09677419355
2025-05-15 22:15:00,12702.258064516129
2025-05-15 22:30:00,12528.838709677419
2025-05-15 22:45:00,12356.838709677419
2025-05-15 23:00:00,12197.129032258064
2025-05-15 23:15:00,12029.709677419354
2025-05-15 23:30:00,11840.193548387097
2025-05-15 23:45:00,11671.677419354839
