Load_data
time,load
2025-01-15 00:00:00,12841.741935483871
2025-01-15 00:15:00,12727.387096774193
2025-01-15 00:30:00,12603.612903225807
2025-01-15 00:45:00,12467.677419354839
2025-01-15 01:00:00,12371.774193548386
2025-01-15 01:15:00,12269.290322580646
2025-01-15 01:30:00,12167.774193548386
2025-01-15 01:45:00,12078.387096774193
2025-01-15 02:00:00,12012.032258064517
2025-01-15 02:15:00,11952.838709677419
2025-01-15 02:30:00,11897.354838709678
2025-01-15 02:45:00,11843.387096774193
2025-01-15 03:00:00,11849.516129032258
2025-01-15 03:15:00,11814.41935483871
2025-01-15 03:30:00,11791.064516129032
2025-01-15 03:45:00,11773.709677419354
2025-01-15 04:00:00,11801.838709677419
2025-01-15 04:15:00,11799.548387096775
2025-01-15 04:30:00,11815.225806451614
2025-01-15 04:45:00,11842.41935483871
2025-01-15 05:00:00,11971.387096774193
2025-01-15 05:15:00,12067.741935483871
2025-01-15 05:30:00,12209.322580645161
2025-01-15 05:45:00,12375.09677419355
2025-01-15 06:00:00,12751.806451612903
2025-01-15 06:15:00,13016.548387096775
2025-01-15 06:30:00,13301.838709677419
2025-01-15 06:45:00,13626.935483870968
2025-01-15 07:00:00,14166.290322580646
2025-01-15 07:15:00,14560.225806451614
2025-01-15 07:30:00,14964.967741935483
2025-01-15 07:45:00,15320.90322580645
2025-01-15 08:00:00,15694.064516129032
2025-01-15 08:15:00,15919.516129032258
2025-01-15 08:30:00,16108.41935483871
2025-01-15 08:45:00,16261.870967741936
2025-01-15 09:00:00,16362.032258064517
2025-01-15 09:15:00,16407.064516129034
2025-01-15 09:30:00,16384.677419354837
2025-01-15 09:45:00,16370.161290322581
2025-01-15 10:00:00,16274.870967741936
2025-01-15 10:15:00,16187.161290322581
2025-01-15 10:30:00,16105.41935483871
2025-01-15 10:45:00,16048.290322580646
2025-01-15 11:00:00,15952.516129032258
2025-01-15 11:15:00,15889.41935483871
2025-01-15 11:30:00,15829.90322580645
2025-01-15 11:45:00,15795.290322580646
2025-01-15 12:00:00,15745.354838709678
2025-01-15 12:15:00,15668.322580645161
2025-01-15 12:30:00,15586.322580645161
2025-01-15 12:45:00,15546.58064516129
2025-01-15 13:00:00,15559.90322580645
2025-01-15 13:15:00,15571.225806451614
2025-01-15 13:30:00,15553.290322580646
2025-01-15 13:45:00,15537.354838709678
2025-01-15 14:00:00,15546.612903225807
2025-01-15 14:15:00,15555.709677419354
2025-01-15 14:30:00,15577.645161290322
2025-01-15 14:45:00,15642.258064516129
2025-01-15 15:00:00,15716.967741935483
2025-01-15 15:15:00,15798.516129032258
2025-01-15 15:30:00,15937.774193548386
2025-01-15 15:45:00,16081.0
2025-01-15 16:00:00,16242.161290322581
2025-01-15 16:15:00,16417.16129032258
2025-01-15 16:30:00,16660.451612903227
2025-01-15 16:45:00,16996.290322580644
2025-01-15 17:00:00,17223.41935483871
2025-01-15 17:15:00,17534.322580645163
2025-01-15 17:30:00,17700.064516129034
2025-01-15 17:45:00,17711.74193548387
2025-01-15 18:00:00,17458.225806451614
2025-01-15 18:15:00,17241.354838709678
2025-01-15 18:30:00,17060.483870967742
2025-01-15 18:45:00,16931.677419354837
2025-01-15 19:00:00,16752.064516129034
2025-01-15 19:15:00,16585.645161290322
2025-01-15 19:30:00,16411.290322580644
2025-01-15 19:45:00,16312.258064516129
2025-01-15 20:00:00,16081.741935483871
2025-01-15 20:15:00,15896.387096774193
2025-01-15 20:30:00,15697.483870967742
2025-01-15 20:45:00,15520.451612903225
2025-01-15 21:00:00,15294.41935483871
2025-01-15 21:15:00,15109.774193548386
2025-01-15 21:30:00,14894.90322580645
2025-01-15 21:45:00,14702.032258064517
2025-01-15 22:00:00,14430.741935483871
2025-01-15 22:15:00,14228.516129032258
2025-01-15 22:30:00,13994.193548387097
2025-01-15 22:45:00,13782.806451612903
2025-01-15 23:00:00,13582.129032258064
2025-01-15 23:15:00,13392.387096774193
2025-01-15 23:30:00,13181.129032258064
2025-01-15 23:45:00,13003.709677419354
