Load_data
time,load
2025-02-15 00:00:00,12371.344827586207
2025-02-15 00:15:00,12256.137931034482
2025-02-15 00:30:00,12128.827586206897
2025-02-15 00:45:00,11986.034482758621
2025-02-15 01:00:00,11905.586206896553
2025-02-15 01:15:00,11808.965517241379
2025-02-15 01:30:00,11694.620689655172
2025-02-15 01:45:00,11605.931034482759
2025-02-15 02:00:00,11570.310344827587
2025-02-15 02:15:00,11513.689655172413
2025-02-15 02:30:00,11455.551724137931
2025-02-15 02:45:00,11412.068965517241
2025-02-15 03:00:00,11411.793103448275
2025-02-15 03:15:00,11373.172413793103
2025-02-15 03:30:00,11340.620689655172
2025-02-15 03:45:00,11313.51724137931
2025-02-15 04:00:00,11331.896551724138
2025-02-15 04:15:00,11322.931034482759
2025-02-15 04:30:00,11343.448275862069
2025-02-15 04:45:00,11369.620689655172
2025-02-15 05:00:00,11493.965517241379
2025-02-15 05:15:00,11591.172413793103
2025-02-15 05:30:00,11727.689655172413
2025-02-15 05:45:00,11904.137931034482
2025-02-15 06:00:00,12294.103448275862
2025-02-15 06:15:00,12560.51724137931
2025-02-15 06:30:00,12843.448275862069
2025-02-15 06:45:00,13171.310344827587
2025-02-15 07:00:00,13717.241379310344
2025-02-15 07:15:00,14110.172413793103
2025-02-15 07:30:00,14463.137931034482
2025-02-15 07:45:00,14762.413793103447
2025-02-15 08:00:00,15018.586206896553
2025-02-15 08:15:00,15167.965517241379
2025-02-15 08:30:00,15297.068965517241
2025-02-15 08:45:00,15397.620689655172
2025-02-15 09:00:00,15410.689655172413
2025-02-15 09:15:00,15430.689655172413
2025-02-15 09:30:00,15391.655172413793
2025-02-15 09:45:00,15366.793103448275
2025-02-15 10:00:00,15292.655172413793
2025-02-15 10:15:00,15211.551724137931
2025-02-15 10:30:00,15164.931034482759
2025-02-15 10:45:00,15119.655172413793
2025-02-15 11:00:00,15057.310344827587
2025-02-15 11:15:00,15010.724137931034
2025-02-15 11:30:00,14969.103448275862
2025-02-15 11:45:00,14993.275862068966
2025-02-15 12:00:00,14976.379310344828
2025-02-15 12:15:00,14922.068965517241
2025-02-15 12:30:00,14845.862068965518
2025-02-15 12:45:00,14828.068965517241
2025-02-15 13:00:00,14857.103448275862
2025-02-15 13:15:00,14867.827586206897
2025-02-15 13:30:00,14844.137931034482
2025-02-15 13:45:00,14809.48275862069
2025-02-15 14:00:00,14815.586206896553
2025-02-15 14:15:00,14785.0
2025-02-15 14:30:00,14770.689655172413
2025-02-15 14:45:00,14788.48275862069
2025-02-15 15:00:00,14838.862068965518
2025-02-15 15:15:00,14882.862068965518
2025-02-15 15:30:00,14934.48275862069
2025-02-15 15:45:00,15031.689655172413
2025-02-15 16:00:00,15143.689655172413
2025-02-15 16:15:00,15243.758620689656
2025-02-15 16:30:00,15428.689655172413
2025-02-15 16:45:00,15706.655172413793
2025-02-15 17:00:00,15925.0
2025-02-15 17:15:00,16226.448275862069
2025-02-15 17:30:00,16467.344827586207
2025-02-15 17:45:00,16639.310344827587
2025-02-15 18:00:00,16559.793103448275
2025-02-15 18:15:00,16477.655172413793
2025-02-15 18:30:00,16360.448275862069
2025-02-15 18:45:00,16257.0
2025-02-15 19:00:00,16078.48275862069
2025-02-15 19:15:00,15912.172413793103
2025-02-15 19:30:00,15745.206896551725
2025-02-15 19:45:00,15640.103448275862
2025-02-15 20:00:00,15417.034482758621
2025-02-15 20:15:00,15230.344827586207
2025-02-15 20:30:00,15043.0
2025-02-15 20:45:00,14874.655172413793
2025-02-15 21:00:00,14643.103448275862
2025-02-15 21:15:00,14450.034482758621
2025-02-15 21:30:00,14255.620689655172
2025-02-15 21:45:00,14069.793103448275
2025-02-15 22:00:00,13825.344827586207
2025-02-15 22:15:00,13622.068965517241
2025-02-15 22:30:00,13403.793103448275
2025-02-15 22:45:00,13209.862068965518
2025-02-15 23:00:00,13023.48275862069
2025-02-15 23:15:00,12843.724137931034
2025-02-15 23:30:00,12644.034482758621
2025-02-15 23:45:00,12477.724137931034
