date,Controller1-0.time-based_0-dump
2012-02-01 00:00:00,-9.47291143571369
2012-02-01 00:15:00,-8.795393999334959
2012-02-01 00:30:00,-8.79088919580013
2012-02-01 00:45:00,-9.932972185628676
2012-02-01 01:00:00,-6.707862332059381
2012-02-01 01:15:00,-11.16171279119928
2012-02-01 01:30:00,-9.340652096650995
2012-02-01 01:45:00,-7.977300833733489
2012-02-01 02:00:00,-12.617142315785484
2012-02-01 02:15:00,-10.5
2012-02-01 02:30:00,-7.75112285056632
2012-02-01 02:45:00,-5.6861317076525
2012-02-01 03:00:00,-7.969176171805945
2012-02-01 03:15:00,-8.564013855108941
2012-02-01 03:30:00,-7.02795109794388
2012-02-01 03:45:00,-7.8706583165180435
2012-02-01 04:00:00,-7.3155212911439165
2012-02-01 04:15:00,-11.260293995508937
2012-02-01 04:30:00,-8.639702359149002
2012-02-01 04:45:00,-7.786176732453509
2012-02-01 05:00:00,-7.382998337455501
2012-02-01 05:15:00,-8.130057613291907
2012-02-01 05:30:00,-5.402612276094241
2012-02-01 05:45:00,-7.775760088466985
2012-02-01 06:00:00,-8.612914101480351
2012-02-01 06:15:00,-9.89713837281281
2012-02-01 06:30:00,-10.994037489092015
2012-02-01 06:45:00,-10.5
2012-02-01 07:00:00,-10.5
2012-02-01 07:15:00,-9.978804841409888
2012-02-01 07:30:00,-12.020175733137757
2012-02-01 07:45:00,-10.5
2012-02-01 08:00:00,-10.5
2012-02-01 08:15:00,-10.5
2012-02-01 08:30:00,-10.5
2012-02-01 08:45:00,-10.5
2012-02-01 09:00:00,-10.5
2012-02-01 09:15:00,-10.5
2012-02-01 09:30:00,-8.516807930363717
2012-02-01 09:45:00,-7.504631271412212
2012-02-01 10:00:00,-5.2733449210187295
2012-02-01 10:15:00,-25.18460176377192
2012-02-01 10:30:00,-10.5
2012-02-01 10:45:00,-3.650001754022736
2012-02-01 11:00:00,-15.4620776075791
2012-02-01 11:15:00,-10.5
2012-02-01 11:30:00,-10.5
2012-02-01 11:45:00,-4.776367728826619
2012-02-01 12:00:00,-0.0
2012-02-01 12:15:00,-0.0
2012-02-01 12:30:00,-3.340064477666501
2012-02-01 12:45:00,-0.0
2012-02-01 13:00:00,-0.0
2012-02-01 13:15:00,-6.488436678351987
2012-02-01 13:30:00,-0.0
2012-02-01 13:45:00,-0.6427823519033442
2012-02-01 14:00:00,-0.5817205985502538
2012-02-01 14:15:00,-3.828946522015992
2012-02-01 14:30:00,-1.2277364262423114
2012-02-01 14:45:00,-3.3087243550357868
2012-02-01 15:00:00,-3.939537894560244
2012-02-01 15:15:00,-0.0
2012-02-01 15:30:00,-3.6601941066460792
2012-02-01 15:45:00,-4.656158029708155
2012-02-01 16:00:00,-6.855884278139926
2012-02-01 16:15:00,-3.910804138697654
2012-02-01 16:30:00,-6.688731783039419
2012-02-01 16:45:00,-10.738112677319496
2012-02-01 17:00:00,-6.184507665252451
2012-02-01 17:15:00,-3.837222792051556
2012-02-01 17:30:00,-8.225656652547126
2012-02-01 17:45:00,-5.842502730176161
2012-02-01 18:00:00,-11.418400343386155
2012-02-01 18:15:00,-10.5
2012-02-01 18:30:00,-10.5
2012-02-01 18:45:00,-10.5
2012-02-01 19:00:00,-10.5
2012-02-01 19:15:00,-10.5
2012-02-01 19:30:00,-10.5
2012-02-01 19:45:00,-10.5
2012-02-01 20:00:00,-10.5
2012-02-01 20:15:00,-10.5
2012-02-01 20:30:00,-10.5
2012-02-01 20:45:00,-10.5
2012-02-01 21:00:00,-10.5
2012-02-01 21:15:00,-10.4996
2012-02-01 21:30:00,-10.5
2012-02-01 21:45:00,-10.4996
2012-02-01 22:00:00,-10.5
2012-02-01 22:15:00,-10.5
2012-02-01 22:30:00,-10.4996
2012-02-01 22:45:00,-10.4996
2012-02-01 23:00:00,-10.4996
2012-02-01 23:15:00,-10.4996
2012-02-01 23:30:00,-10.5
