date,Controller1-0.time-based_0-dump
2012-02-01 00:00:00,-9.47291143571369
2012-02-01 00:15:00,-8.795393999334959
2012-02-01 00:30:00,-8.79088919580013
2012-02-01 00:45:00,-9.932972185628676
2012-02-01 01:00:00,-6.707862332059381
2012-02-01 01:15:00,-11.16171279119928
2012-02-01 01:30:00,-9.340652096650995
2012-02-01 01:45:00,-9.136648737082494
2012-02-01 02:00:00,-12.617142315785484
2012-02-01 02:15:00,-11.471626870282998
2012-02-01 02:30:00,-6.779495980283322
2012-02-01 02:45:00,-8.43500885708618
2012-02-01 03:00:00,-7.969176171805945
2012-02-01 03:15:00,-8.564013855108941
2012-02-01 03:30:00,-7.02795109794388
2012-02-01 03:45:00,-7.8706583165180435
2012-02-01 04:00:00,-7.3155212911439165
2012-02-01 04:15:00,-11.260293995508937
2012-02-01 04:30:00,-8.639702359149002
2012-02-01 04:45:00,-9.646474373304509
2012-02-01 05:00:00,-7.382998337455501
2012-02-01 05:15:00,-8.130057613291907
2012-02-01 05:30:00,-5.402612276094241
2012-02-01 05:45:00,-7.775760088466985
2012-02-01 06:00:00,-8.612914101480351
2012-02-01 06:15:00,-9.89713837281281
2012-02-01 06:30:00,-10.994037489092015
2012-02-01 06:45:00,-11.741502467318858
2012-02-01 07:00:00,-9.734916025136211
2012-02-01 07:15:00,-9.502386348954818
2012-02-01 07:30:00,-12.020175733137757
2012-02-01 07:45:00,-11.918670558740263
2012-02-01 08:00:00,-11.364231214571523
2012-02-01 08:15:00,-11.536756135703383
2012-02-01 08:30:00,-10.179094500312424
2012-02-01 08:45:00,-11.0765858861523
2012-02-01 09:00:00,-12.313219804904968
2012-02-01 09:15:00,-6.414040405987826
2012-02-01 09:30:00,-7.735404582581138
2012-02-01 09:45:00,-9.487823341048497
2012-02-01 10:00:00,-5.2733449210187295
2012-02-01 10:15:00,-25.18460176377192
2012-02-01 10:30:00,-12.470478513147851
2012-02-01 10:45:00,-1.6795232408748824
2012-02-01 11:00:00,-15.4620776075791
2012-02-01 11:15:00,-11.808363375929297
2012-02-01 11:30:00,-11.4747599369324
2012-02-01 11:45:00,-9.343242661942188
2012-02-01 12:00:00,-3.2748807491248617
2012-02-01 12:15:00,-0.0
2012-02-01 12:30:00,-3.8908644776665007
2012-02-01 12:45:00,-0.0
2012-02-01 13:00:00,-0.0
2012-02-01 13:15:00,-6.886436678351988
2012-02-01 13:30:00,-0.0
2012-02-01 13:45:00,-0.9303823519033436
2012-02-01 14:00:00,-0.7893205985502538
2012-02-01 14:15:00,-3.978946522015992
2012-02-01 14:30:00,-1.3361364262423117
2012-02-01 14:45:00,-3.386724355035787
2012-02-01 15:00:00,-3.995937894560244
2012-02-01 15:15:00,-0.0
2012-02-01 15:30:00,-3.70099410664608
2012-02-01 15:45:00,-4.685358029708154
2012-02-01 16:00:00,-6.877084278139926
2012-02-01 16:15:00,-3.9264041386976536
2012-02-01 16:30:00,-6.699931783039418
2012-02-01 16:45:00,-10.746112677319497
2012-02-01 17:00:00,-6.190107665252451
2012-02-01 17:15:00,-8.156715126799105
2012-02-01 17:30:00,-8.228456652547125
2012-02-01 17:45:00,-5.844502730176162
2012-02-01 18:00:00,-11.420000343386157
2012-02-01 18:15:00,-25.439285281207763
2012-02-01 18:30:00,-23.53303814121113
2012-02-01 18:45:00,-25.117206091138748
2012-02-01 19:00:00,-27.703830416232627
2012-02-01 19:15:00,-26.754666268351723
2012-02-01 19:30:00,-30.72468523598847
2012-02-01 19:45:00,-26.68887651076937
2012-02-01 20:00:00,-24.22711468293012
2012-02-01 20:15:00,-22.74001771591682
2012-02-01 20:30:00,-18.347591312969826
2012-02-01 20:45:00,-14.324233978384513
2012-02-01 21:00:00,-11.275110660860296
2012-02-01 21:15:00,-8.068694674867736
2012-02-01 21:30:00,-11.964101126029188
2012-02-01 21:45:00,-9.70266315652576
2012-02-01 22:00:00,-12.125841862947668
2012-02-01 22:15:00,-11.146970064716024
2012-02-01 22:30:00,-9.607077942322451
2012-02-01 22:45:00,-9.328286820498562
2012-02-01 23:00:00,-9.634744420387047
2012-02-01 23:15:00,-10.451575380860412
2012-02-01 23:30:00,-10.973377125665197
