date,PV1-0.time-based_0-pv_gen_out,PandaController1-0.time-based_0-incoming,PandaController1-0.time-based_0-outgoing,FossilCoal1-0.time-based_0-gen_pow
2025-04-15 00:00:00,0.0,0,2.790217818856929e-09,2.790217818856929e-09
2025-04-15 00:10:00,0.0,0,3.186193596980789e-09,3.186193596980789e-09
2025-04-15 00:20:00,0.0,0,2.8129937908765566e-09,2.8129937908765566e-09
2025-04-15 00:30:00,0.0,0,2.881541542092518e-09,2.881541542092518e-09
2025-04-15 00:40:00,0.0,0,3.439256041019176e-09,3.439256041019176e-09
2025-04-15 00:50:00,0.0,0,3.385601561203628e-09,3.385601561203628e-09
2025-04-15 01:00:00,0.0,0,3.990709561613492e-09,3.990709561613492e-09
2025-04-15 01:10:00,0.0,0,4.0126576530479274e-09,4.0126576530479274e-09
2025-04-15 01:20:00,0.0923690581346235,0,3.502258097060508e-09,3.502258097060508e-09
2025-04-15 01:30:00,4.398391832528793,0,4.499673816654129e-09,4.499673816654129e-09
2025-04-15 01:40:00,24.328409625016143,0,4.865851305998726e-09,4.865851305998726e-09
2025-04-15 01:50:00,82.93548215502898,0,4.5521432713454794e-09,4.5521432713454794e-09
2025-04-15 02:00:00,183.25240017077968,0,4.9710094726691916e-09,4.9710094726691916e-09
2025-04-15 02:10:00,322.1171011789172,0,5.986939838193321e-09,5.986939838193321e-09
2025-04-15 02:20:00,492.0272501850375,0,7.838149211812505e-09,7.838149211812505e-09
2025-04-15 02:30:00,1143.5577467730266,0,7.67677086440609e-10,7.67677086440609e-10
2025-04-15 02:40:00,613.2142201782681,0,4.575615468758621e-09,4.575615468758621e-09
2025-04-15 02:50:00,920.8127110727652,0,7.022542311954034e-10,7.022542311954034e-10
2025-04-15 03:00:00,884.3580691414313,0,7.543860593972841e-09,7.543860593972841e-09
2025-04-15 03:10:00,789.477716511686,0,7.328527675282781e-09,7.328527675282781e-09
2025-04-15 03:20:00,1145.5902338350372,0,1.669485669383313e-09,1.669485669383313e-09
2025-04-15 03:30:00,1264.6293807458455,0,8.025466419630039e-09,8.025466419630039e-09
2025-04-15 03:40:00,1282.1661613403492,0,3.08447894914708e-09,3.08447894914708e-09
