,vm_pu,va_degree,p_mw,q_mvar,lam_p,lam_q
0,1.0,0.0,1055.5646448708449,,9.99999999227797,0.0
1,1.0,9.193451764772846,-891.4469473156305,,9.999999997500424,0.0
2,1.0,-0.5481729488996577,882.5079583154436,,9.999999993726455,0.0
3,1.0,6.672580724636142,-801.2851863269748,,9.999999998002052,0.0
4,1.0,9.466915759176763,-1769.0946280121782,,9.999999997373783,0.0
5,1.0,8.508012726875835,0.0,,9.999999997911566,0.0
6,1.0,8.24796626019687,-5.162291927263141e-09,,9.99999999776687,0.0
7,1.0,5.094147959016883,0.0,,9.99999999826756,0.0
8,1.0,1.102843626956505,0.0,,9.999999997762123,0.0
9,1.0,7.402641038719505,-76.5552394669835,,9.999999998050892,0.0
10,1.0,6.065357246370125,0.0,,9.99999999839348,0.0
11,1.0,-5.3727212911273226,976.7322941859134,,9.999999998577266,0.0
12,1.0,5.343810998110294,-1.0324583854526281e-08,,9.99999999856448,0.0
13,1.0,5.772509902926166,548.1425714775905,,9.999999998595406,0.0
14,1.0,5.820121128281292,0.0,,9.999999998586006,0.0
15,1.0,5.902063084614619,-1.0324583854526281e-08,,9.999999998559069,0.0
16,1.0,5.493667261403035,0.0,,9.999999998555475,0.0
17,1.0,-8.549677241689452,1560.227695509766,,9.999999999033415,0.0
18,1.0,-7.208879691359527,-613.4197149627162,,9.999999999029985,0.0
19,1.0,1.7139772409530658,461.0017083838143,,9.999999998984666,0.0
20,1.0,6.164686602752671,-354.4486738860719,,9.999999998555557,0.0
21,1.0,-2.773220578016657,0.0,,9.999999999098868,0.0
22,1.0,-7.325662549553766,0.0,,9.9999999992058,0.0
23,1.0,5.579117213272146,-1444.6402054309774,,9.99999999853508,0.0
24,1.0,2.660322630130471,1168.210892139422,,9.999999998900329,0.0
25,1.0,-7.4878149499779205,1831.3443063807872,,9.999999999425123,0.0
26,1.0,4.488542254889378,-5.162291927263141e-09,,9.99999998490665,0.0
27,1.0,12.74319010020713,-685.6001569792061,,9.999999978858648,0.0
28,1.0,13.369306636555642,-5.162291927263141e-09,,9.999999976881327,0.0
29,1.0,14.735452761461463,-778.518236470145,,9.999999976845915,0.0
30,1.0,14.120324870503653,-809.8729484516789,,9.99999997562422,0.0
31,1.0,3.640354236568143,-5.162291927263141e-09,,9.999999985217013,0.0
32,1.0,12.502243346081338,0.0,,9.999999974096546,0.0
33,1.0,11.460016981782596,0.0,,9.99999997303141,0.0
34,1.0,2.5934445718558456,0.0,,9.99999998553197,0.0
35,1.0,10.014415998251248,-258.85013391972825,,9.999999971582758,0.0
