date,Controller1-0.time-based_0-flow2bState
2012-06-21 07:45:00,0.0
2012-06-21 08:00:00,0.0
2012-06-21 08:15:00,0.0
2012-06-21 08:30:00,0.0
2012-06-21 08:45:00,0.0
2012-06-21 09:00:00,0.0
2012-06-21 09:15:00,0.0
2012-06-21 09:30:00,0.0
2012-06-21 09:45:00,0.1829256545801673
2012-06-21 10:00:00,0.0064023863364494
2012-06-21 10:15:00,0.0446006697923234
2012-06-21 10:30:00,-0.0228483251722106
2012-06-21 10:45:00,-0.0459151850302217
2012-06-21 11:00:00,-0.0028205810491729
2012-06-21 11:15:00,0.4069161182530735
2012-06-21 11:30:00,-0.124312
2012-06-21 11:45:00,-0.089784
2012-06-21 12:00:00,0.2342571212374876
2012-06-21 12:15:00,-0.1175519999999999
2012-06-21 12:30:00,-0.0848959999999999
2012-06-21 12:45:00,-0.061312
2012-06-21 13:00:00,-0.04428
2012-06-21 13:15:00,-0.031984
2012-06-21 13:30:00,-0.023096
2012-06-21 13:45:00,-0.01668
2012-06-21 14:00:00,-0.012048
2012-06-21 14:15:00,0.1728955584472072
2012-06-21 14:30:00,-0.047608
2012-06-21 14:45:00,-0.034384
2012-06-21 15:00:00,-0.0248319999999999
2012-06-21 15:15:00,-0.017936
2012-06-21 15:30:00,-0.0129519999999999
2012-06-21 15:45:00,-0.009352
2012-06-21 16:00:00,-0.0067519999999999
2012-06-21 16:15:00,-0.0048799999999999
2012-06-21 16:30:00,0.0584379508718539
2012-06-21 16:45:00,-0.01668
2012-06-21 17:00:00,-0.012048
2012-06-21 17:15:00,0.0695652848335438
2012-06-21 17:30:00,0.1422171735719237
2012-06-21 17:45:00,0.011853097676833816
